"","Date","Stock","Values"
"399",1997-03-31,14198,-0.156243
"400",1997-04-30,14198,-0.027633
"401",1997-05-30,14198,0.110485
"402",1997-06-30,14198,0.039978
"403",1997-07-31,14198,0.069229
"404",1997-08-29,14198,0.030147
"405",1997-09-30,14198,-0.037513
"406",1997-10-31,14198,0.010868
"407",1997-11-28,14198,0.009614
"408",1997-12-31,14198,0.008533
"409",1997-01-31,14277,0.108141
"410",1997-02-28,14277,-0.095014
"411",1997-03-31,14277,0.061539
"412",1997-04-30,14277,0.028334
"413",1997-05-30,14277,0.074107
"414",1997-06-30,14277,0.045618
"415",1997-07-31,14277,0.2177
"416",1997-08-29,14277,-0.006555
"417",1997-09-30,14277,0.103065
"418",1997-10-31,14277,0.035147
"419",1997-11-28,14277,-0.063186
"420",1997-12-31,14277,-0.024542
"421",1997-01-31,14526,-0.05255
"422",1997-02-28,14526,0.04908
"423",1997-03-31,14526,-0.010589
"424",1997-04-30,14526,-0.244806
"425",1997-05-30,14526,0.231433
"426",1997-06-30,14526,0.158462
"427",1997-07-31,14526,-0.010114
"428",1997-08-29,14526,0.021397
"429",1997-09-30,14526,0.1156
"430",1997-10-31,14526,-0.027669
"431",1997-11-28,14526,-0.077198
"432",1997-12-31,14526,-0.468077
"433",1997-01-31,14541,0.016654
"434",1997-02-28,14541,-0.024013
"435",1997-03-31,14541,0.075157
"436",1997-04-30,14541,-0.020458
"437",1997-05-30,14541,0.025465
"438",1997-06-30,14541,0.05255
"439",1997-07-31,14541,0.06417
"440",1997-08-29,14541,-0.016537
"441",1997-09-30,14541,0.068239
"442",1997-10-31,14541,-0.005705
"443",1997-11-28,14541,-0.030064
"444",1997-12-31,14541,-0.044551
"445",1997-01-31,14702,0.369413
"446",1997-02-28,14702,0.021416
"447",1997-03-31,14702,-0.088251
"448",1997-04-30,14702,0.178988
"449",1997-05-30,14702,0.184166
"450",1997-06-30,14702,0.081549
"451",1997-07-31,14702,0.29314
"452",1997-08-29,14702,0.023111
"453",1997-09-30,14702,0.004872
"454",1997-10-31,14702,-0.303413
"455",1997-11-28,14702,-0.015136
"456",1997-12-31,14702,-0.091921
"457",1997-01-31,14752,0.032197
"458",1997-02-28,14752,-0.01275
"459",1997-03-31,14752,0.054629
"460",1997-04-30,14752,0.029888
"461",1997-05-30,14752,-0.0049
"462",1997-06-30,14752,0.157457
"463",1997-07-31,14752,0.13449
"464",1997-08-29,14752,0.130275
"465",1997-09-30,14752,0.228382
"466",1997-10-31,14752,-0.231016
"467",1997-11-28,14752,-0.076154
"468",1997-12-31,14752,0.119811
"469",1997-01-31,14795,0.121183
"470",1997-02-28,14795,0.019498
"471",1997-03-31,14795,0.01718
"472",1997-04-30,14795,0.082149
"473",1997-05-30,14795,0.181423
"474",1997-06-30,14795,0.03273
"475",1997-07-31,14795,-0.016602
"476",1997-08-29,14795,0.066434
"477",1997-09-30,14795,0.065717
"478",1997-10-31,14795,-0.168007
"479",1997-11-28,14795,0.058861
"480",1997-12-31,14795,-0.034782
"481",1997-01-31,14816,-0.036046
"482",1997-02-28,14816,0.097077
"483",1997-03-31,14816,0.09141
"484",1997-04-30,14816,0.05141
"485",1997-05-30,14816,0.01357
"486",1997-06-30,14816,-0.07971
"487",1997-07-31,14816,0.096824
"488",1997-08-29,14816,-0.006651
