Date,Stock,Values
31/10/1997,17750,0.008862745
28/11/1997,17750,0.008980597
31/12/1997,17750,0.008449272
31/01/1997,17830,0.009198543
28/02/1997,17830,0.008987445
31/03/1997,17830,0.009096824
30/04/1997,17830,0.008886621
30/05/1997,17830,0.009085334
30/06/1997,17830,0.009097265
31/07/1997,17830,0.009189465
29/08/1997,17830,0.009308077
30/09/1997,17830,0.009154387
31/10/1997,17830,0.008918235
28/11/1997,17830,0.008896754
31/12/1997,17830,0.008744782
31/01/1997,17929,0.009279333
28/02/1997,17929,0.008885584
31/03/1997,17929,0.008825623
30/04/1997,17929,0.009044387
30/05/1997,17929,0.009157774
30/06/1997,17929,0.009053136
31/07/1997,17929,0.009201857
29/08/1997,17929,0.009531787
30/09/1997,17929,0.009137395
31/10/1997,17929,0.009058684
28/11/1997,17929,0.00916514
31/12/1997,17929,0.009114307
31/01/1997,17961,0.009041651
28/02/1997,17961,0.009490239
31/03/1997,17961,0.008914817
30/04/1997,17961,0.009202514
30/05/1997,17961,0.009258385
30/06/1997,17961,0.009315404
31/07/1997,17961,0.009049356
29/08/1997,17961,0.009071182
30/09/1997,17961,0.009131028
31/10/1997,17961,0.00920678
28/11/1997,17961,0.008944818
31/12/1997,17961,0.009448386
31/01/1997,18075,0.009202334
28/02/1997,18075,0.009157739
31/03/1997,18075,0.00912293
30/04/1997,18075,0.00896722
30/05/1997,18075,0.009280681
30/06/1997,18075,0.009289579
31/07/1997,18075,0.00924277
29/08/1997,18075,0.009045755
30/09/1997,18075,0.009011576
31/10/1997,18075,0.009291752
28/11/1997,18075,0.009255672
31/12/1997,18075,0.008990578
31/01/1997,18091,0.008919163
28/02/1997,18091,0.008895812
31/03/1997,18091,0.009104263
30/04/1997,18091,0.009070024
30/05/1997,18091,0.009036804
30/06/1997,18091,0.009058752
31/07/1997,18091,0.00882426
29/08/1997,18091,0.009421902
30/09/1997,18091,0.008896351
31/10/1997,18091,0.009111028
28/11/1997,18091,0.009416406
31/12/1997,18091,0.009629256
31/01/1997,18148,0.009133594
28/02/1997,18148,0.008910866
31/03/1997,18148,0.009233841
30/04/1997,18148,0.009096446
30/05/1997,18148,0.009148926
30/06/1997,18148,0.009191818
31/07/1997,18148,0.009055159
29/08/1997,18148,0.008837145
30/09/1997,18148,0.009034178
31/10/1997,18148,0.009263619
28/11/1997,18148,0.009421354
31/12/1997,18148,0.009113678
31/01/1997,18163,0.008970873
28/02/1997,18163,0.008860887
31/03/1997,18163,0.009256124
30/04/1997,18163,0.009047001
30/05/1997,18163,0.009029284
30/06/1997,18163,0.009116774
31/07/1997,18163,0.009113327
29/08/1997,18163,0.009066363
30/09/1997,18163,0.009242853
31/10/1997,18163,0.008830776
28/11/1997,18163,0.009060844
31/12/1997,18163,0.008936797
31/01/1997,18403,0.008985769
28/02/1997,18403,0.008988734
31/03/1997,18403,0.009376901
30/04/1997,18403,0.00937549
30/05/1997,18403,0.0089969
30/06/1997,18403,0.009039786
31/07/1997,18403,0.009389965
29/08/1997,18403,0.008992468
